,English,Hindi
0,unlettered voluminous,अपढ़ मोटा
1,bheemghoda watermills,भीमघोड़ा पनचक्कियों
2,kalyanathe,कल्याणथे
3,patronized unaccepted,को संरक्षण अस्वीकृत
4,gothakhoor,गोथाखूर
5,retirement,निवृत्ति
6,foxhunting dictionary,लोमड़ी का शिकार शब्दकोष
7,warehouses ratiobeing,गोदामों अनुपात होना
8,vysmapayan ahswathama,विस्मापायन अश्वत्थामा
9,radiolinja,रेडियोलिंजा
10,khapchhada,खपचड़ा
11,monotonous,नीरस
12,nutritious orphanages innovation,पौष्टिक अनाथालयों नवाचार
13,abundances,प्रचुरता
14,acquainted,परिचित
15,harigeetha,हरिगीता
16,graciously epididymis,विनय से अधिवृषण
17,dasmaskand enlightens visibility,दशमस्कंद प्रबुद्ध करता है दृश्यता
18,transforms,बदल देती है
19,resurfaced,फिर जाग उठा
20,inaugurate,का उद्घाटन
21,semicolons,अर्धविराम
22,epitomised extracting,प्रतीक निकालने
23,waitresses patronized kunnakkudi,वेट्रेस को संरक्षण कुन्नक्कुडी
24,maximising,अधिकतम
25,backstroke flattering,जवाबी चोट चापलूसी
26,inhibitors,अवरोधकों
27,alcoholism announcers undertrial,शराब उदघोषकों विचाराधीन कैदी
28,rhetorical absolutist,शब्दाडंबरपूर्ण निरंकुश शासन से सहमत
29,subversion brahmagana,विनाश ब्रह्मगण
30,escalation,वृद्धि
31,ethiquital unfinished,नैतिक अधूरा
32,scholastic chitrangad aahamadiya,शैक्षिक चित्रांगद अहमदिया
33,hexavalent,षटसंयोजक
34,boisterous nutritious,उद्दाम पौष्टिक
35,rhetorical,शब्दाडंबरपूर्ण
36,fabricated imaginable,गढ़ा हुआ कल्पनीय
37,devoutness,धार्मिकता
38,inevitably,अनिवार्य रूप से
39,reflective believable clothespin,चिंतनशील मुमकिन clothespin के
40,apotheosis,गुणगान
41,modalities,तौर-तरीकों
42,prejudices,पूर्वाग्रहों
43,transforms holidaying,बदल देती है अवकाशकालीन
44,blackstone serialised,काला पत्थर धारावाहिक
45,exacerbate affiliates handsomely,ख़राब करना संबद्ध खूबसूरत
46,supposedly nirwaachan measurably,माना जाता है निर्वाण कुछ हद तक
47,professors,प्रोफेसर
48,originally,मौलिक रूप से
49,watertight,निर्विवाद
50,malihabadi byelection,मलिहाबादी उपचुनाव
51,luxembourg idiophones periplanea,लक्ज़मबर्ग इडियोफोन पेरिप्लेनिया
52,antedating electrodes,पूर्ववर्ती इलेक्ट्रोड
53,chokerwali mehrangarh,चोकरवाली मेहरानगढ़
54,emphasizes,पर जोर देती है
55,resistance,प्रतिरोध
56,operations inhibition,परिचालन निषेध
57,holidaying,अवकाशकालीन
58,accessible suryakanth,पहुंच योग्य सूर्यकांत
59,apocryphal,शंकायुक्त
60,frightened,डरा हुआ
61,tirunagari,तिरुनगरी
62,professing unexplored,प्रोफ़ेसिंग बेरोज़गार
63,crimescape,क्राइमस्केप
64,propagator hysterical flourished,प्रचारक उन्माद निखरा
65,amputation cohesively,विच्छेदन एकजुट
66,deficiency,कमी
67,communally,सामुदायिक रूप से
68,reassuming redemptive,पुनः ग्रहण करना छुटकारे
69,profiteers,मुनाफाखोरों
70,danvantari,दान्वन्तरि
71,antecedent,पूर्वपद
72,procedures satrangini,प्रक्रियाओं सतरंगिनी
73,panchatala fakhruddin,पंचताल फखरुद्दीन
74,organizing favourites capacities,आयोजन पसंदीदा क्षमता
75,profusions thearawada mansarover,बहुतायत थेरावाड़ा मानसरोवर
76,refineries,रिफाइनरियों
77,imperalism,साम्राज्यवाद
78,nourishing,नरिशिंग
79,hesitating,झिझक
80,antibodies,एंटीबॉडी
81,recklessly understand,बेतहाशा समझना
82,generously,उदारता
83,parasurama,परसुराम
84,incredible ostensibly,अविश्वसनीय जाहिरा तौर पर
85,bheemasena chyreluang,भीमसेना चिरेलुआंग
86,pulverised,चूर्णित
87,insolvency,दिवालियापन
88,degaussing,डीगॉसिंग
89,nitandhara,नितंधरा
90,headoffice,प्रधान कार्यालय
91,straightly,सीधे तौर पर
92,integrated,एकीकृत
93,espacially,विशेषकर
94,bombarding modulation,बौछार मॉडुलन
95,ventilated prabhupada,हवादार प्रभुपाद
96,anesthesia shakuntala,बेहोशी शकुंतला
97,gradations harmonious publicised,ग्रेडेशन सामंजस्यपूर्ण प्रचारित
98,ashwadhama naseruddin,अश्वधाम नसीरुद्दीन
99,attendance exemptions,उपस्थिति छूट
100,shrinkhala,श्रिंकला
101,centrifuge,अपकेंद्रित्र
102,neglecting,उपेक्षा
103,manifestly,स्पष्टतः
104,abdication arnivchani adaptation,त्याग अर्निव्चनी अनुकूलन
105,fulfilment contraband,पूर्ति वर्जित
106,dedicating volunteers,समर्पित स्वयंसेवकों
107,radiophone cigarettes,रेडियो-टेलीफोन सिगरेट
108,aftershave,आफ़्टरशेव
109,conquerors,विजेताओं
110,vitalistic cleverness demarcated,जीवन्त चतुराई सीमांकन
111,meditating acceptance,मनन करना स्वीकार
112,familiarly,परिचित रूप से
113,collapsing,गिर
114,sadtenland,सैडटेनलैंड
115,subservent,अधीन
116,dissolving,घुला देनेवाला
117,hollowness scantiness,खोखलेपन दरिद्रता
118,deactivate mournfully,निष्क्रिय करें अफसोस जताते हुए
119,hegemonous,आधिपत्य
120,blistering,छाले पड़ना
121,sanctified,पवित्र
122,hemorrhage,नकसीर
123,percolator,टपकाने का साधन
124,germinated confessing,अंकुरित कबूल
125,klebsiella,क्लेबसिएला
126,ascendency intestinal syndicates,प्रधानता आंतों सिंडिकेट
127,attributed sommavanti,जिम्मेदार ठहराया सोमवंती
128,collembola,कोलेम्बोला
129,danvantari solemnized,दान्वन्तरि सम्पन्न
130,gonorrhoea conferring,सूजाक उपाधि प्रदान की
131,combatants,लड़ाकों
132,waterproof,जलरोधक
