,English,French
0,receptions,réceptions
1,recessions,récessions
2,vindicated unoccupied,justifié inoccupé
3,diagonally experionce,en diagonale expérience
4,airrelated,lié à l'air
5,uprighting,redressement
6,vininiramn,vininiramn
7,impediment,obstacle
8,appealable,appelable
9,plantation,plantation
10,bhoothnath,bhoothnath
11,miniskirts,minijupes
12,janhulbdin,Janhulbdin
13,receptacle bookstores mujaheddin,réceptacle librairies Moudjahidine
14,frangipani legalities foreigners,frangipanier légalités étrangers
15,performing,effectuer
16,headoffice,siège social
17,sttavahana kajaksthan,sttavahana kajaksthan
18,shiwaraani,Shiwaraani
19,jawaharlal muradhabad squandered,Jawaharlal muradhabad gaspillé
20,eradicated responsive enterprise,éradiqué sensible entreprise
21,lakshagrah proscribed,lakshagrah proscrit
22,diacyclops quarreling,diacyclope disputes
23,virtuosity,virtuosité
24,ecosystems,écosystèmes
25,equanimity stroganoff,équanimité Stroganoff
26,agronomist,agronome
27,hopelessly,désespérément
28,coagulated,coagulé
29,rectifying,rectifier
30,subbalaxmi,subbalaxmi
31,sokolnikov,sokolnikov
32,andamanese discreetly incentives,andamanais discrètement incitations
33,promiseand,promesse et
34,unofficial,non officiel
35,abdication siddharama,abdication siddharama
36,heroically,héroïquement
37,interphone exigencies qutubshahi,interphone exigences qutubshahi
38,grostesque,grossiste
39,hypnotised,hypnotisé
40,saddleback inevitably,en selle inévitablement
41,caledonian,calédonien
42,cohabiting groundsman fraudulent,cohabiter jardinier frauduleux
43,mahapurana revolution irreverent,Mahapurana révolution irrévérencieux
44,hardliners,les extrémistes
45,mitigation abhyaranya,atténuation Abhyaranya
46,telephones,téléphones
47,triumphant,triomphant
48,polytheism prperitary,polythéisme prépéritaire
49,petitioned,pétitionné
50,explicable,explicable
51,medallions ruggedness,médaillons rugosité
52,taivernier,taivernier
53,malaysians banishment,malaisiens bannissement
54,modernists categories,modernistes catégories
55,bodyguards stereotype grandstand,gardes du corps stéréotype tribune
56,fundraiser,collecte de fonds
57,flourished cultivates silverware,prospéré cultive argenterie
58,coagulated disruptive,coagulé perturbateur
59,heptanesia physicians alkalinity,heptanésie médecins alcalinité
60,compressed,comprimé
61,erakesvara,érakesvara
62,stimulants,stimulants
63,biological,biologique
64,components,composants
65,viewership,audience
66,recuperate presidence,récupérer présidence
67,anklewhile,chevillependant
68,mahashakti,Mahashakti
69,stewardess classrooms,hôtesse salles de classe
70,compressed grejmonqui operations,comprimé grejmonqui opérations
71,stretching kidnapping,étirage enlèvement
72,thecentral,la centrale
73,northwards materially,vers le nord matériellement
74,ghantaghar,ghantaghar
75,disrespect taittiriya inscribers,manque de respect taittiriya inscrits
76,amendments,amendements
77,balabhadra,balabhadra
78,bharathiya,Bharatiya
79,prosecutes hypaethral,poursuit hypéthral
80,badarinath viviparous overseeing,Badarinath vivipare surveillance
81,offsprings,progéniture
82,sterilized,stérilisé
83,appetizing,appétissant
84,stealthily,furtivement
85,parivadini analgesics,parivadini analgésiques
86,enclosures replanting,enceintes replantation
87,tantamount transplant,équivalent transplanter
88,distinctly vickitrita,distinctement vickitrita
89,trumpeters infuriated,trompettistes furieux
90,instituted reiterated formulated,institué réitéré formulé
91,containing nomination jaishankar,contenant nomination jaishankar
92,enlightens,éclaire
93,canvassing,démarchage
94,wrongdoing explosiion,méfait explosion
95,acbutaroan lifeguards,acbutaroan sauveteurs
